15:52:04.942 -> Humidity: 24.00 %, Temp: 25.70 Celsius
15:53:27.152 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:29.151 -> Humidity: 23.80 %, Temp: 25.90 Celsius
15:53:31.160 -> Humidity: 23.80 %, Temp: 25.90 Celsius
15:53:33.158 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:35.163 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:37.184 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:39.169 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:41.183 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:43.192 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:45.186 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:47.195 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:49.200 -> Humidity: 23.90 %, Temp: 25.90 Celsius
15:53:51.199 -> Humidity: 24.00 %, Temp: 25.90 Celsius
15:53:53.207 -> Humidity: 24.00 %, Temp: 25.90 Celsius
15:53:55.211 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:53:57.243 -> Humidity: 24.30 %, Temp: 25.90 Celsius
15:53:59.221 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:54:01.227 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:54:03.232 -> Humidity: 24.10 %, Temp: 25.90 Celsius
15:54:05.256 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:54:07.260 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:54:09.241 -> Humidity: 24.30 %, Temp: 25.90 Celsius
15:54:11.258 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:54:13.275 -> Humidity: 24.10 %, Temp: 25.90 Celsius
15:54:15.288 -> Humidity: 24.10 %, Temp: 25.90 Celsius
15:54:17.281 -> Humidity: 24.10 %, Temp: 25.90 Celsius
15:54:19.295 -> Humidity: 24.20 %, Temp: 25.90 Celsius
15:54:21.280 -> Humidity: 24.30 %, Temp: 26.00 Celsius
15:54:23.288 -> Humidity: 24.20 %, Temp: 26.00 Celsius
15:54:25.315 -> Humidity: 24.20 %, Temp: 26.00 Celsius
15:54:27.320 -> Humidity: 24.10 %, Temp: 26.00 Celsius
15:54:29.314 -> Humidity: 24.10 %, Temp: 26.00 Celsius
15:54:31.315 -> Humidity: 24.00 %, Temp: 26.00 Celsius
15:54:33.320 -> Humidity: 24.10 %, Temp: 26.00 Celsius
15:54:35.322 -> Humidity: 24.10 %, Temp: 26.00 Celsius
15:54:37.343 -> Humidity: 24.10 %, Temp: 26.00 Celsius
15:54:39.331 -> Humidity: 24.00 %, Temp: 26.00 Celsius
15:54:41.353 -> Humidity: 24.00 %, Temp: 26.00 Celsius
15:54:43.346 -> Humidity: 23.90 %, Temp: 26.00 Celsius
15:54:45.357 -> Humidity: 23.90 %, Temp: 26.00 Celsius
15:54:47.372 -> Humidity: 23.90 %, Temp: 26.00 Celsius
15:54:49.362 -> Humidity: 23.80 %, Temp: 26.00 Celsius
15:54:51.380 -> Humidity: 23.80 %, Temp: 26.00 Celsius
15:54:53.380 -> Humidity: 23.70 %, Temp: 26.00 Celsius
15:54:55.387 -> Humidity: 23.80 %, Temp: 26.00 Celsius
15:54:57.382 -> Humidity: 23.80 %, Temp: 26.00 Celsius
15:54:59.396 -> Humidity: 23.80 %, Temp: 26.00 Celsius
15:55:01.407 -> Humidity: 23.90 %, Temp: 26.00 Celsius
15:55:03.393 -> Humidity: 24.70 %, Temp: 26.00 Celsius
15:55:05.396 -> Humidity: 24.70 %, Temp: 26.00 Celsius
15:55:07.414 -> Humidity: 24.70 %, Temp: 26.00 Celsius
15:55:09.410 -> Humidity: 24.50 %, Temp: 26.00 Celsius
15:55:11.408 -> Humidity: 24.50 %, Temp: 26.00 Celsius
15:55:13.405 -> Humidity: 24.40 %, Temp: 26.00 Celsius
15:55:15.445 -> Humidity: 24.30 %, Temp: 26.00 Celsius
15:55:17.425 -> Humidity: 24.30 %, Temp: 26.10 Celsius
15:55:19.452 -> Humidity: 24.30 %, Temp: 26.00 Celsius
15:55:21.444 -> Humidity: 24.20 %, Temp: 26.00 Celsius
15:55:23.451 -> Humidity: 24.10 %, Temp: 26.00 Celsius
15:55:25.446 -> Humidity: 24.10 %, Temp: 26.10 Celsius
15:55:27.447 -> Humidity: 24.00 %, Temp: 26.00 Celsius
15:55:29.450 -> Humidity: 24.00 %, Temp: 26.10 Celsius
15:55:31.486 -> Humidity: 24.00 %, Temp: 26.10 Celsius
15:55:33.471 -> Humidity: 24.10 %, Temp: 26.10 Celsius
15:55:35.466 -> Humidity: 24.10 %, Temp: 26.10 Celsius
15:55:37.502 -> Humidity: 24.10 %, Temp: 26.10 Celsius
15:55:39.500 -> Humidity: 24.00 %, Temp: 26.10 Celsius
15:55:41.503 -> Humidity: 24.00 %, Temp: 26.10 Celsius
15:55:43.485 -> Humidity: 23.90 %, Temp: 26.10 Celsius
15:55:45.518 -> Humidity: 23.90 %, Temp: 26.10 Celsius
15:55:47.501 -> Humidity: 23.90 %, Temp: 26.10 Celsius
15:55:49.535 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:55:51.516 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:55:53.547 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:55:55.544 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:55:57.549 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:55:59.527 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:01.537 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:03.565 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:05.568 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:07.560 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:09.578 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:11.560 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:13.583 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:56:15.598 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:56:17.605 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:56:19.603 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:56:21.610 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:56:23.593 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:56:25.615 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:56:27.603 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:29.611 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:31.620 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:33.647 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:35.636 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:37.653 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:39.650 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:41.662 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:43.644 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:45.668 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:47.659 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:49.689 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:51.675 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:53.671 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:55.677 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:57.710 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:56:59.699 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:01.719 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:03.726 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:05.719 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:07.732 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:57:09.739 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:57:11.744 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:57:13.734 -> Humidity: 23.70 %, Temp: 26.10 Celsius
15:57:15.732 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:17.733 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:19.755 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:21.755 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:23.771 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:25.768 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:27.759 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:29.793 -> Humidity: 23.60 %, Temp: 26.10 Celsius
15:57:31.765 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:33.794 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:35.793 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:37.795 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:39.815 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:41.816 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:43.808 -> Humidity: 23.50 %, Temp: 26.10 Celsius
15:57:45.836 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:57:47.809 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:57:49.820 -> Humidity: 23.80 %, Temp: 26.10 Celsius
15:57:51.821 -> Humidity: 23.90 %, Temp: 26.10 Celsius
15:57:53.843 -> Humidity: 24.00 %, Temp: 26.10 Celsius
15:57:55.849 -> Humidity: 24.40 %, Temp: 26.10 Celsius
15:57:57.852 -> Humidity: 24.80 %, Temp: 26.10 Celsius
15:57:59.870 -> Humidity: 24.90 %, Temp: 26.10 Celsius


